n_dimensions,best_k,ARI_vs_full,NMI_vs_full,AJI_k10,AJI_k20,AJI_k30,soft_silhouette
2,2,0.7015026038599953,0.6814569109162808,0.10991423797813057,0.1753714372066504,0.22649301950721443,0.6082663978534938
3,2,0.7015026038599953,0.6814569109162808,0.1514044452012658,0.22460320429785824,0.2795445008358082,0.5315651186269955
4,2,0.7023898766712016,0.6806204402217382,0.19147851605662927,0.27014919517231534,0.3241894060802924,0.49646347443669175
5,2,0.7046628805822186,0.6848108896098071,0.22624507838418875,0.31172441042111587,0.3685506853729887,0.45994552557905943
6,2,0.7060488389585077,0.6935505981771831,0.2821579083690282,0.3715845953988529,0.42554092587546244,0.41437515627865223
7,2,0.7051998083513629,0.6939256846820878,0.33117967139205856,0.4291973825390138,0.48392440781437435,0.3826033051151291
8,2,0.7069565273489357,0.6936653160665491,0.3780688190307369,0.4667028353540795,0.5209647837066786,0.35579778759243186
9,2,0.7089479148316317,0.695354196844429,0.4279884409478243,0.5238431609707029,0.5689844530168335,0.3197008654722667
10,2,0.7089479148316317,0.695354196844429,0.46520719090659257,0.5549448332616356,0.5996824611877735,0.29704109836517584
