n_dimensions,best_k,ARI_vs_full,NMI_vs_full,AJI_k10,AJI_k20,AJI_k30,soft_silhouette
2,7,0.18299393852603993,0.3032250688709363,0.09122973796372469,0.13498470879498467,0.17184521949445347,0.6033486436944427
3,3,0.32123678531486094,0.2905908474077739,0.13056055353413348,0.19420897662003817,0.24156503093199522,0.487157630414751
4,3,0.34386055756706474,0.30905859499884486,0.1777463850664415,0.2418985543478299,0.2952290214685139,0.3848337701156914
5,3,0.3508312087996531,0.3132201421610598,0.21131545728708018,0.28685031602579686,0.33873712005104356,0.3172591552516718
6,3,0.3779091151630675,0.33023145752314004,0.2428251488410458,0.30934318804654504,0.3648028889159548,0.260387669907128
7,2,0.34992742720613823,0.24970457961454334,0.24478317929648558,0.31759532717765265,0.37130851630867406,0.20753769719208312
8,2,0.35628662342213463,0.25410610291321806,0.2695904147363105,0.33811183697058056,0.39205721313829367,0.1369865545759519
9,3,0.3565312284817994,0.25120995414013475,0.30322197493230074,0.37716845878095023,0.4281417538403152,0.014440233324734904
10,2,0.3757465944585128,0.2686805479067697,0.33640634609530484,0.41583455909183376,0.46196207564065683,0.004709763379255019
